CLSID,ClassName
{03837513-098B-11D8-9414-505054503030},CLSID TraceDataProvider
{0383751C-098B-11D8-9414-505054503030},CLSID TraceSession
{03837521-098B-11D8-9414-505054503030},CLSID DataCollectorSet
{03837525-098B-11D8-9414-505054503030},CLSID DataCollectorSetCollection
{03837526-098B-11D8-9414-505054503030},CLSID LegacyDataCollectorSet
{03837527-098B-11D8-9414-505054503030},CLSID LegacyDataCollectorSetCollection
{03837528-098B-11D8-9414-505054503030},CLSID LegacyTraceSession
{03837529-098B-11D8-9414-505054503030},CLSID LegacyTraceSessionCollection
{03837530-098B-11D8-9414-505054503030},CLSID TraceSessionCollection
{03837531-098B-11D8-9414-505054503030},CLSID ServerDataCollectorSet
{03837532-098B-11D8-9414-505054503030},CLSID ServerDataCollectorSetCollection
{03837538-098B-11D8-9414-505054503030},CLSID BootTraceSession
{03837539-098B-11D8-9414-505054503030},CLSID BootTraceSessionCollection
{03837546-098B-11D8-9414-505054503030},CLSID ServerDataCollectorSet
{03837547-098B-11D8-9414-505054503030},CLSID SystemDataCollectorSetCollection
{038A9A32-25E8-429D-B05F-B17C4ADC6171},CLSID PSFactoryBuffer
{039EA4C0-E696-11d0-878A-00A0C91EC756},CLSID Jet Expression Service
{03A0E2CD-23A9-45ed-968F-6FDA22B2285E},CLSID New Network Category Custom Page
{03ACC284-B757-4B8F-9951-86E600D2CD06},CLSID PrivateKey Class
{03B5835F-F03C-411B-9CE2-AA23E1171E36},CLSID IMJPTIP
{03B76F82-25ED-3F80-991F-73094301D831},CLSID Microsoft.SqlServer.Management.Smo.Agent.Job
{03C036F1-A186-11D0-824A-00AA005B4383},CLSID Microsoft Shell Folder AutoComplete List
{03C06416-D127-407A-AB4C-FDD279ABBE5D},CLSID BDA Tuning Model Digital Cable Locator
{03C3C703-2664-4630-9141-954BB8274CA8},CLSID Values Class
{03C93300-8AB2-41C5-9B79-46127A30E148},CLSID PSFactoryBuffer
{03ca98d6-ff5d-49b8-abc6-03dd84127020},CLSID Background Intelligent Transfer Control Class 2.5
{03D935D9-B9E0-4356-925C-6AD11EAE4E4B},CLSID Setup Controller 12
{03e15b2e-cca6-451c-8fb0-1e2ee37a27dd},CLSID CTapiLuaLib Class
{0408CDCA-DEC1-37CF-AF15-6073513E214F},CLSID Microsoft.SqlServer.Management.UI.WizardButton
{0429EC6E-1144-4bed-B88B-2FB9899A4A3D},CLSID Custom Composition Segment from Data Services to XDS
{042dc17c-023f-43df-a3ec-982b4dc78a64},CLSID Schema Migration Plugin
{045473BC-A37B-4957-B144-68105411ED8E},CLSID PSFactoryBuffer
{04731B67-D933-450a-90E6-4ACD2E9408FE},CLSID CLSID_SearchFolder
{047a9a40-657e-11d3-8d5b-00104b35e7ef},CLSID Microsoft Common Language Runtime Debugger Publisher
{047DEC5A-95C1-4C86-827F-7B8C92EBA67A},CLSID PSFactoryBuffer
{0482DDE0-7817-11CF-8A03-00AA006ECB65},CLSID KsDataTypeHandlerAnalogVideo
{049F2CE6-D996-4721-897A-DB15CE9EB73D},CLSID Iris
{04a1e553-fe36-4fde-865e-344194e69424},CLSID Microsoft InkPicture Control
{04A3A3CA-D69D-3240-AD12-EE4407A10AF5},CLSID Microsoft.SqlServer.Management.Smo.Agent.Alert
{04A578B2-E778-422A-A805-B3EE54D90BD9},CLSID PSFactoryBuffer
{04B55BC3-33DE-4d79-94EC-830CDF96CC82},CLSID WMPlayer ContentPropPage Class
{04CCE2FF-A7D3-11D0-B436-00A0244A1DD2},CLSID ThreadManager Class
{04E1311F-3F53-333F-8C9E-BDBF7E286AB8},CLSID Microsoft.SqlServer.Management.Smo.FragmentationOption
{05238C14-A6E1-11D0-9A84-00C04FD8DBF7},CLSID PSFactoryBuffer
{05300401-BCBC-11d0-85E3-00C04FD85AB4},CLSID MHTML Asynchronous Pluggable Protocol Handler
{053796E7-CD0C-3662-91A0-77F670ACDD9F},CLSID Microsoft.AnalysisServices.ImpactAnalysisType
